ts_ns,bid_px,bid_qty,ask_px,ask_qty
1756090893078000000,-9223372036854775808,0,9223372036854775807,0
1756090893178000000,-9223372036854775808,0,9223372036854775807,0
1756090893478000000,-9223372036854775808,0,9223372036854775807,0
1756090893478000000,-9223372036854775808,0,9223372036854775807,0
1756090893478000000,-9223372036854775808,0,9223372036854775807,0
1756090893478000000,-9223372036854775808,0,9223372036854775807,0
1756090893579000000,-9223372036854775808,0,9223372036854775807,0
1756090893579000000,-9223372036854775808,0,9223372036854775807,0
1756090893579000000,-9223372036854775808,0,9223372036854775807,0
1756090893579000000,-9223372036854775808,0,9223372036854775807,0
1756090893979000000,-9223372036854775808,0,9223372036854775807,0
1756090894179000000,-9223372036854775808,0,9223372036854775807,0
1756090894179000000,-9223372036854775808,0,9223372036854775807,0
1756090894279000000,-9223372036854775808,0,9223372036854775807,0
1756090894279000000,-9223372036854775808,0,9223372036854775807,0
1756090894479000000,-9223372036854775808,0,9223372036854775807,0
1756090894479000000,-9223372036854775808,0,9223372036854775807,0
1756090894479000000,-9223372036854775808,0,9223372036854775807,0
1756090894479000000,-9223372036854775808,0,9223372036854775807,0
1756090894579000000,-9223372036854775808,0,9223372036854775807,0
1756090894579000000,-9223372036854775808,0,9223372036854775807,0
1756090895480000000,-9223372036854775808,0,9223372036854775807,0
1756090895480000000,-9223372036854775808,0,9223372036854775807,0
1756090895480000000,-9223372036854775808,0,9223372036854775807,0
1756090895580000000,-9223372036854775808,0,9223372036854775807,0
1756090895580000000,-9223372036854775808,0,9223372036854775807,0
1756090895580000000,-9223372036854775808,0,9223372036854775807,0
1756090895580000000,-9223372036854775808,0,9223372036854775807,0
1756090896180000000,-9223372036854775808,0,9223372036854775807,0
1756090896481000000,-9223372036854775808,0,9223372036854775807,0
1756090896481000000,-9223372036854775808,0,9223372036854775807,0
1756090896481000000,-9223372036854775808,0,9223372036854775807,0
1756090896481000000,-9223372036854775808,0,9223372036854775807,0
1756090896581000000,-9223372036854775808,0,9223372036854775807,0
1756090896581000000,-9223372036854775808,0,9223372036854775807,0
1756090896581000000,-9223372036854775808,0,9223372036854775807,0
1756090896581000000,-9223372036854775808,0,9223372036854775807,0
1756090896581000000,-9223372036854775808,0,9223372036854775807,0
1756090896681000000,-9223372036854775808,0,9223372036854775807,0
1756090896781000000,-9223372036854775808,0,9223372036854775807,0
1756090896781000000,-9223372036854775808,0,9223372036854775807,0
1756090897081000000,-9223372036854775808,0,9223372036854775807,0
1756090897181000000,-9223372036854775808,0,9223372036854775807,0
1756090897281000000,-9223372036854775808,0,9223372036854775807,0
1756090897281000000,-9223372036854775808,0,9223372036854775807,0
1756090897481000000,-9223372036854775808,0,9223372036854775807,0
1756090897481000000,-9223372036854775808,0,9223372036854775807,0
1756090897682000000,-9223372036854775808,0,9223372036854775807,0
