ts_ns,type,side,price,qty
1756090850547000000,book,A,113464.26,0.59379
1756090850547000000,book,A,113528.35,0.0
1756090851048000000,book,B,113152.51,0.1224
1756090851048000000,book,B,113152.5,0.0
1756090851048000000,book,B,113093.88,0.0
1756090851048000000,book,A,113451.06,0.09721
1756090851048000000,book,A,113451.09,0.1202
1756090851048000000,book,A,141574.17,0.00027
1756090851148000000,book,B,113231.78,0.0
1756090851148000000,book,B,113093.87,0.0
1756090851248000000,book,B,113231.84,0.0
1756090851248000000,book,A,113451.05,0.00033
1756090851248000000,book,A,113451.07,0.0
1756090851348000000,book,B,113231.86,0.11787
1756090851348000000,book,B,113231.85,0.0
1756090851348000000,book,B,113231.83,0.0
1756090851348000000,book,B,113152.52,0.0
1756090851348000000,book,B,113152.51,0.0
1756090851348000000,book,B,113152.5,0.1224
1756090851348000000,book,B,113120.96,0.035
1756090851348000000,book,A,113451.04,0.09721
1756090851348000000,book,A,113451.06,0.0
1756090851448000000,book,B,113231.86,0.0
1756090851448000000,book,B,113231.84,0.04
1756090851448000000,book,B,113231.83,0.11787
1756090851448000000,book,A,113451.03,0.04159
1756090851448000000,book,A,113451.08,0.0
1756090851548000000,book,B,113231.85,0.11787
1756090851548000000,book,B,113231.83,0.0
1756090852449000000,book,B,113231.84,0.0
1756090852549000000,book,B,113231.85,0.0
1756090852549000000,book,B,113231.84,0.04
1756090852549000000,book,B,113231.83,0.11787
1756090852549000000,book,A,141574.17,0.00036
1756090852649000000,book,B,113231.85,0.11787
1756090852649000000,book,B,113231.83,0.0
1756090853149000000,book,B,113231.86,0.00781
1756090853149000000,book,B,113076.0,0.00231
1756090853249000000,book,B,113231.87,0.11787
1756090853249000000,book,B,113231.85,0.0
1756090853449000000,book,A,113451.05,0.0
1756090853549000000,book,B,113231.84,0.0
1756090853850000000,book,A,141574.17,0.00045
1756090854350000000,book,B,113231.88,0.04
1756090854350000000,book,A,113451.02,0.00033
1756090854450000000,book,B,113231.89,0.11787
1756090854450000000,book,B,113231.87,0.0
1756090854650000000,book,B,113152.38,0.0
1756090855551000000,book,A,141574.17,0.00045
1756090855651000000,book,A,141574.17,0.00045
1756090856251000000,book,B,113231.88,0.0
1756090856251000000,book,B,113120.96,0.0
1756090856351000000,book,B,113231.89,0.0
1756090856351000000,book,B,113231.88,0.04
1756090856351000000,book,B,113231.87,0.11787
1756090856452000000,book,B,113231.89,0.11787
1756090856452000000,book,B,113231.87,0.0
1756090856652000000,book,B,113076.01,0.02361
1756090856952000000,book,B,113152.51,0.1224
1756090856952000000,book,B,113152.5,0.0
1756090856952000000,book,A,113451.01,0.09721
1756090856952000000,book,A,113451.04,0.0
1756090857052000000,book,A,113451.02,0.0
1756090857152000000,book,B,113231.86,0.0
1756090857152000000,book,B,113231.82,0.0
1756090857152000000,book,A,113451.0,0.00033
1756090857352000000,book,B,113231.88,0.0
1756090857452000000,book,B,113231.89,0.0
1756090857452000000,book,B,113225.29,0.04088
1756090857452000000,book,B,113152.52,0.11787
1756090857552000000,book,B,113225.3,0.11787
1756090857552000000,book,B,113152.52,0.0
1756090858153000000,book,B,113225.31,0.00785
1756090858153000000,book,B,113076.0,0.00714
1756090858153000000,book,B,113005.27,0.0
1756090858253000000,book,B,113225.32,0.11787
1756090858253000000,book,B,113225.3,0.0
1756090858253000000,book,B,113005.28,0.02584
1756090858853000000,book,B,113225.29,0.00088
1756090858853000000,book,A,113451.0,0.0
1756090858953000000,book,B,113225.33,0.04
1756090858953000000,book,A,113451.0,0.0416
1756090858953000000,book,A,113451.03,0.0
1756090859053000000,book,B,113225.34,0.11787
1756090859053000000,book,B,113225.32,0.0
1756090859354000000,book,A,113450.99,0.00019
1756090859354000000,book,A,141574.17,0.00045
1756090859954000000,book,B,113225.33,0.0
1756090860054000000,book,B,113225.34,0.0
1756090860054000000,book,B,113225.33,0.04
1756090860054000000,book,B,113225.32,0.11787
1756090860154000000,book,B,113225.34,0.11787
1756090860154000000,book,B,113225.32,0.0
1756090860555000000,book,B,113152.52,0.1224
