ts,side,price,qty,type,ts_ns
1756086312781000000,A,113059.86,0.71188,book,1756086312781000000
1756086312881000000,B,112549.42,0.0,book,1756086312881000000
1756086312881000000,B,112549.4,0.0,book,1756086312881000000
1756086312881000000,B,112549.28,0.0,book,1756086312881000000
1756086312881000000,A,113059.82,0.71188,book,1756086312881000000
1756086312881000000,A,113059.86,0.0,book,1756086312881000000
1756086312981000000,B,112549.46,0.04047,book,1756086312981000000
1756086312981000000,B,112549.44,0.0,book,1756086312981000000
1756086312981000000,A,113059.81,0.04,book,1756086312981000000
1756086312981000000,A,113059.87,0.0,book,1756086312981000000
1756086313081000000,B,112549.47,0.09997,book,1756086313081000000
1756086313081000000,B,112549.45,0.0,book,1756086313081000000
1756086313081000000,A,113059.8,0.71188,book,1756086313081000000
1756086313081000000,A,113059.82,0.0,book,1756086313081000000
1756086313181000000,A,113059.81,0.04058,book,1756086313181000000
1756086313181000000,A,113059.91,0.0,book,1756086313181000000
1756086313281000000,A,113059.83,0.0,book,1756086313281000000
1756086313381000000,B,112186.0,0.0,book,1756086313381000000
1756086313381000000,B,112173.0,0.1224,book,1756086313381000000
1756086313381000000,B,111816.0,0.10048,book,1756086313381000000
1756086313381000000,A,113059.79,0.09721,book,1756086313381000000
1756086313481000000,B,112174.0,0.0,book,1756086313481000000
1756086313481000000,B,112173.0,0.1224,book,1756086313481000000
1756086313581000000,B,112549.48,0.00033,book,1756086313581000000
1756086313581000000,B,112176.0,0.1224,book,1756086313581000000
1756086313581000000,B,112175.0,0.0,book,1756086313581000000
1756086313581000000,B,112173.0,0.0,book,1756086313581000000
1756086313581000000,A,113059.77,0.09721,book,1756086313581000000
1756086313581000000,A,113059.78,0.71188,book,1756086313581000000
1756086313581000000,A,113059.79,0.0,book,1756086313581000000
1756086313581000000,A,113059.8,0.0,book,1756086313581000000
1756086313581000000,A,113060.07,0.0,book,1756086313581000000
1756086313681000000,B,112176.0,0.0,book,1756086313681000000
1756086313681000000,B,112175.0,0.1224,book,1756086313681000000
1756086313681000000,B,111998.0,0.0,book,1756086313681000000
1756086313681000000,B,111970.0,0.0,book,1756086313681000000
1756086313681000000,B,111942.0,0.0,book,1756086313681000000
1756086313681000000,B,111914.0,0.0,book,1756086313681000000
1756086313681000000,B,111816.0,0.0,book,1756086313681000000
1756086313681000000,A,113059.77,0.44853,book,1756086313681000000
1756086313681000000,A,113614.0,0.0,book,1756086313681000000
1756086313681000000,A,113642.0,0.0,book,1756086313681000000
1756086313681000000,A,113670.0,0.0,book,1756086313681000000
1756086313681000000,A,113698.0,0.0,book,1756086313681000000
1756086313781000000,B,112175.0,0.0,book,1756086313781000000
1756086313781000000,B,112173.0,0.1224,book,1756086313781000000
1756086313781000000,A,113059.74,0.09721,book,1756086313781000000
1756086313781000000,A,113059.75,0.04,book,1756086313781000000
1756086313781000000,A,113059.76,0.71188,book,1756086313781000000
1756086313781000000,A,113059.78,0.0,book,1756086313781000000
1756086313882000000,B,112549.49,0.0077,book,1756086313882000000
1756086313882000000,B,112549.48,0.00935,book,1756086313882000000
1756086313882000000,B,111505.01,0.00258,book,1756086313882000000
1756086313882000000,A,113059.72,0.04,book,1756086313882000000
1756086313882000000,A,113059.73,0.71188,book,1756086313882000000
1756086313882000000,A,113059.75,0.0,book,1756086313882000000
1756086313882000000,A,113059.76,0.0,book,1756086313882000000
1756086313982000000,B,112549.5,0.09997,book,1756086313982000000
1756086313982000000,B,112549.47,0.0,book,1756086313982000000
1756086313982000000,A,113059.71,0.71188,book,1756086313982000000
1756086313982000000,A,113059.73,0.0,book,1756086313982000000
1756086314582000000,B,112549.51,0.04047,book,1756086314582000000
1756086314582000000,B,112549.46,0.0,book,1756086314582000000
1756086314582000000,A,113059.7,0.0,book,1756086314582000000
1756086314582000000,A,113059.81,0.00058,book,1756086314582000000
1756086314682000000,B,112549.52,0.09997,book,1756086314682000000
1756086314682000000,B,112549.5,0.0,book,1756086314682000000
1756086314782000000,A,140978.35,0.00045,book,1756086314782000000
1756086315583000000,B,112549.51,0.0,book,1756086315583000000
1756086315583000000,B,112315.58,0.01827,book,1756086315583000000
1756086315583000000,B,112285.19,0.0,book,1756086315583000000
1756086315583000000,A,113059.7,0.0,book,1756086315583000000
1756086315583000000,A,113059.72,0.0,book,1756086315583000000
1756086315683000000,B,112549.52,0.0,book,1756086315683000000
1756086315683000000,B,112549.5,0.09997,book,1756086315683000000
1756086315683000000,A,113059.71,0.0,book,1756086315683000000
1756086315683000000,A,113059.73,0.71188,book,1756086315683000000
