ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:41:00+00:00,1756197660000000000,110139.62,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.9014926775
2025-08-26 08:41:01+00:00,1756197661000000000,110139.595,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.0289926776
2025-08-26 08:41:02+00:00,1756197662000000000,110139.575,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.1309926775
2025-08-26 08:41:03+00:00,1756197663000000000,110139.595,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.0289926776
2025-08-26 08:41:04+00:00,1756197664000000000,110139.6,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.0034926775
2025-08-26 08:41:05+00:00,1756197665000000000,110139.62,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.9014926775
2025-08-26 08:41:06+00:00,1756197666000000000,110139.625,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.8759926775
2025-08-26 08:41:07+00:00,1756197667000000000,110139.66,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.6974926775
2025-08-26 08:41:08+00:00,1756197668000000000,110139.685,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.5699926775
2025-08-26 08:41:09+00:00,1756197669000000000,110139.7,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.4934926776
2025-08-26 08:41:10+00:00,1756197670000000000,110139.69,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.5444926776
2025-08-26 08:41:11+00:00,1756197671000000000,110139.715,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.4169926775
2025-08-26 08:41:12+00:00,1756197672000000000,110139.75,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.2384926776
2025-08-26 08:41:13+00:00,1756197673000000000,110139.67,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.6464926775
2025-08-26 08:41:14+00:00,1756197674000000000,110139.68,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.5954926775
2025-08-26 08:41:15+00:00,1756197675000000000,110139.67,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.6464926775
